contentid,contenttypeid,roomcode,roomtitle,roomsize1,roomcount,roombasecount,roommaxcount,roomoffseasonminfee1,roomoffseasonminfee2,roompeakseasonminfee1,roompeakseasonminfee2,roomintro,roombathfacility,roombath,roomhometheater,roomaircondition,roomtv,roompc,roomcable,roominternet,roomrefrigerator,roomtoiletries,roomsofa,roomcook,roomtable,roomhairdryer,roomsize2,roomimg1,roomimg1alt,cpyrhtDivCd1,roomimg2,roomimg2alt,cpyrhtDivCd2,roomimg3,roomimg3alt,cpyrhtDivCd3,roomimg4,roomimg4alt,cpyrhtDivCd4,roomimg5,roomimg5alt,cpyrhtDivCd5
139172,32,42774,펜션형스위트룸,12,0,2,10,0,0,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,,,Y,Y,,,,Y,40,,,,,,,,,,,,,,,
139172,32,42775,오션투베드,12,0,2,4,0,0,0,0,※ 객실 가격 전화문의 요망 ,Y,,,Y,Y,,,,Y,Y,,,,Y,40,,,,,,,,,,,,,,,
139172,32,42776,펜션형원룸(오션뷰),25,0,2,4,0,0,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,,,Y,Y,,,,Y,83,,,,,,,,,,,,,,,
139172,32,42777,오션원베드,12,0,2,4,0,0,0,0,※ 객실 가격 전화문의 요망,Y,,,Y,Y,,,,Y,Y,,,,Y,40,,,,,,,,,,,,,,,
3339644,32,,프리미어,13,118,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,,,Y,Y,,,Y,Y,Y,Y,,Y,Y,45,http://tong.visitkorea.or.kr/cms/resource/74/3339674_image2_1.jpg,포시즌스 호텔 서울_프리미어 (1),Type3,http://tong.visitkorea.or.kr/cms/resource/75/3339675_image2_1.jpg,포시즌스 호텔 서울_프리미어 (2),Type3,,,,,,,,,
3339644,32,,코너 프리미어,16,15,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,,,Y,Y,,,Y,Y,Y,Y,,Y,Y,56,http://tong.visitkorea.or.kr/cms/resource/70/3339670_image2_1.jpg,포시즌스 호텔 서울_코너프리미어,Type3,,,,,,,,,,,,
3339644,32,,시티 뷰 이그제큐티브 스위트,20,9,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,Y,,Y,Y,,,Y,Y,Y,Y,,Y,Y,66,http://tong.visitkorea.or.kr/cms/resource/67/3339667_image2_1.jpg,포시즌스 호텔 서울_시티뷰이그제큐티브스위트 (1),Type3,http://tong.visitkorea.or.kr/cms/resource/68/3339668_image2_1.jpg,포시즌스 호텔 서울_시티뷰이그제큐티브스위트 (2),Type3,http://tong.visitkorea.or.kr/cms/resource/69/3339669_image2_1.jpg,포시즌스 호텔 서울_시티뷰이그제큐티브스위트 (3),Type3,,,,,,
3339644,32,,팰리스 뷰 이그제큐티브 스위트,21,16,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,Y,,Y,Y,,,Y,Y,Y,Y,,Y,Y,72,http://tong.visitkorea.or.kr/cms/resource/71/3339671_image2_1.jpg,포시즌스 호텔 서울_팰리스뷰이그제큐티브스위트 (1),Type3,http://tong.visitkorea.or.kr/cms/resource/72/3339672_image2_1.jpg,포시즌스 호텔 서울_팰리스뷰이그제큐티브스위트 (2),Type3,http://tong.visitkorea.or.kr/cms/resource/73/3339673_image2_1.jpg,포시즌스 호텔 서울_팰리스뷰이그제큐티브스위트 (3),Type3,,,,,,
3339644,32,,디럭스,12,96,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,,,Y,Y,,,Y,Y,Y,Y,,Y,Y,41,http://tong.visitkorea.or.kr/cms/resource/65/3339665_image2_1.jpg,포시즌스 호텔 서울_디럭스 (1),Type3,http://tong.visitkorea.or.kr/cms/resource/66/3339666_image2_1.jpg,포시즌스 호텔 서울_디럭스 (2),Type3,,,,,,,,,
3339644,32,,그랜드 패밀리,22,11,0,0,0,0,0,0,※ 요금은 시기에 따라 변동 될 수 있으므로 자세한 사항은 전화문의,Y,Y,,Y,Y,,,Y,Y,Y,Y,,Y,Y,75,http://tong.visitkorea.or.kr/cms/resource/63/3339663_image2_1.jpg,포시즌스 호텔 서울_그랜드패밀리 (1),Type3,http://tong.visitkorea.or.kr/cms/resource/64/3339664_image2_1.jpg,포시즌스 호텔 서울_그랜드패밀리 (2),Type3,,,,,,,,,
983901,32,25417,백합/매화/동백/철쭉,7,4,2,4,60000,100000,110000,110000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,,,Y,,Y,,,Y,Y,Y,26,,,,,,,,,,,,,,,
983901,32,25420,국화/장미/목련,7,3,4,6,60000,100000,110000,110000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,,Y,,,Y,,,26,,,,,,,,,,,,,,,
983901,32,25422,벗나무관/전나무관,13,2,6,8,80000,150000,150000,150000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,,Y,,,Y,Y,,43,,,,,,,,,,,,,,,
983901,32,25426,별채,6,1,2,4,50000,90000,100000,100000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,,Y,,,Y,Y,,23,,,,,,,,,,,,,,,
983901,32,25423,소나무관,18,1,10,15,130000,220000,220000,220000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,,Y,,,Y,Y,,60,,,,,,,,,,,,,,,
983901,32,25424,대나무관,22,1,10,20,150000,250000,250000,250000,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 08월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,,Y,,,Y,Y,,73,,,,,,,,,,,,,,,
397695,32,24089,[스파빌라] 데이지,18,1,2,3,190000,290000,390000,390000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,59,,,,,,,,,,,,,,,
397695,32,24090,[스파빌라] 로즈마리,24,1,2,3,190000,290000,390000,390000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,79,,,,,,,,,,,,,,,
397695,32,36649,[코벌트힐] CO-01,35,1,2,3,260000,360000,460000,460000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,115,,,,,,,,,,,,,,,
397695,32,36652,[코벌트힐] CO-05,22,1,2,3,260000,360000,460000,460000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,72,,,,,,,,,,,,,,,
397695,32,36653,[코벌트힐] CO-07,72,1,4,4,420000,520000,570000,570000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,237,,,,,,,,,,,,,,,
397695,32,36650,[코벌트힐] CO-02,54,1,4,8,420000,520000,620000,620000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,178,,,,,,,,,,,,,,,
397695,32,24091,[스파빌라] 라벤다,27,1,2,4,220000,320000,420000,420000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,89,,,,,,,,,,,,,,,
397695,32,36651,[코벌트힐] CO-03,27,1,2,3,260000,360000,460000,460000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,Y,,Y,,Y,89,,,,,,,,,,,,,,,
397695,32,57658,[풀빌라] 아쿠아 디럭스룸,23,1,2,4,390000,490000,520000,520000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,,,Y,Y,Y,Y,,Y,75,,,,,,,,,,,,,,,
397695,32,57659,[풀빌라] 더블플랙스 스위트룸,45,1,4,8,780000,990000,1200000,1200000,"※ 위 정보는 2023년 03월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,,,Y,Y,Y,Y,Y,Y,148,,,,,,,,,,,,,,,
989941,32,56516,스탠다드,0,0,0,0,45000,55000,0,0,※ 객실 가격 전화문의 요망,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
989941,32,56517,디럭스,0,0,0,0,50000,60000,0,0,※ 객실 가격 전화문의 요망,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
989941,32,56518,VIP,0,0,0,0,60000,70000,0,0,※ 객실 가격 전화문의 요망,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
138491,32,,Episode B-3,15,1,2,3,139000,249000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,49,,,,,,,,,,,,,,,
138491,32,,Episode E,35,1,2,4,209000,319000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,116,,,,,,,,,,,,,,,
138491,32,,Episode C-2,12,1,2,2,129000,229000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,39,,,,,,,,,,,,,,,
138491,32,,Episode D,45,1,2,6,269000,389000,0,0,"\※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,148,,,,,,,,,,,,,,,
138491,32,,Episode B-2,15,1,2,3,139000,249000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,50,,,,,,,,,,,,,,,
138491,32,,키즈풀빌라,85,1,4,9,489000,669000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,,Y,Y,Y,280,,,,,,,,,,,,,,,
138491,32,,Episode A-2,15,1,2,3,139000,249000,0,0,"※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2022년 11월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망",Y,Y,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,49,,,,,,,,,,,,,,,
